Team,Score,MatchUp
CHI,29,Excellent
FLA,96,Difficult
PIT,34,Good
NYR,88,Difficult
COL,98,Difficult
L.A,67,Average
MTL,65,Average
TOR,26,Excellent
BOS,15,Excellent
WSH,85,Difficult
CGY,80,Difficult
EDM,59,Average
VGK,72,Difficult
BUF,32,Good
DET,41,Good
OTT,79,Difficult
T.B,73,Difficult
PHI,79,Difficult
NYI,6,Excellent
N.J,48,Good
CAR,60,Average
MIN,21,Excellent
STL,59,Average
CBJ,26,Excellent
NSH,55,Average
DAL,68,Average
WPG,15,Excellent
UTA,72,Difficult
VAN,16,Excellent
S.J,36,Good
ANA,15,Excellent
SEA,71,Difficult
